storage_variant,trigger_policy,quality_id,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,576,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,10.75,1.0,1.0,165.0,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q01_RECALL75,576,0.8125,9.722222,2.277778,0.756944,0.0,0.243056,0.194444,0.385417,0.756944,0.756944,11.746528,0.756944,0.756944,124.927083,8.916667,0.756944,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q02_RECALL50,576,0.659722,8.347222,3.652778,0.545139,0.0,0.454861,0.135417,0.277778,0.545139,0.545139,12.484375,0.545139,0.545139,89.935764,9.784722,0.545139,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q03_RECALL25,576,0.503472,6.947917,5.052083,0.322917,0.0,0.677083,0.069444,0.166667,0.322917,0.322917,13.171875,0.322917,0.322917,53.269097,10.666667,0.322917,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q04_DELAY1,576,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,12.25,1.0,1.0,165.0,7.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q05_DELAY3,576,1.0,9.125,2.875,1.0,0.0,1.0,0.25,0.5,1.0,1.0,15.25,1.0,1.0,165.0,5.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q06_FALSE3,576,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,27.25,2.0,4.0,664.5,7.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q07_DUP_OOO,576,1.0,10.625,1.375,2.0,0.0,0.0,1.25,0.5,1.0,1.0,25.25,2.0,3.0,495.0,6.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q08_GUARDED,576,0.8125,8.597222,3.402778,1.756944,1.0,0.0,1.194444,0.385417,0.378472,0.756944,25.388889,1.756944,1.756944,291.427083,6.486111,1.756944,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q09_HOSTILE,576,0.659722,6.708333,5.291667,1.545139,1.0,0.0,1.135417,0.277778,0.272569,0.545139,33.987847,1.545139,2.545139,423.116319,5.819444,1.545139,0.0
LIVE_BELIEF,FAILURE_THRESHOLD,Q00_CLEAN,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,51.0,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q01_RECALL75,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,50.392361,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q02_RECALL50,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.862847,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q03_RECALL25,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.307292,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q04_DELAY1,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,51.0,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q05_DELAY3,576,1.0,9.125,2.875,1.875,0.0,1.0,1.125,0.5,0.0,0.0,20.375,1.875,0.875,144.1875,5.875,0.0,1.875
LIVE_BELIEF,FAILURE_THRESHOLD,Q06_FALSE3,576,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,58.5,5.625,0.0,0.0,12.0,0.0,5.625
