claim_scope,disturbance_family,episode_id,horizon,planner_id,prompt_envelope,quality_id,seed,severity,storage_variant,trigger_policy,completion,cost_proxy,escalation_failure,escalation_event,false_wakes,late_wakes,progress,retries,storage_age,storage_bytes,storage_reads,storage_writes,terminal_tick,thrash,trigger_fn,trigger_latency,trigger_precision,trigger_recall,wakes,wasted_wakes,tick_count
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266201,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266201,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266202,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266202,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266203,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266203,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266204,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266204,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266205,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266205,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266206,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266206,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266207,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266207,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266208,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266208,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266209,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266209,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266210,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266210,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266211,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266211,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__COMPACT_TYPED__S20266212,4,DETERMINISTIC_TYPED_ORACLE_V1,COMPACT_TYPED,Q00_CLEAN,20266212,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,27.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266201,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266201,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266202,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266202,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266203,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266203,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266204,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266204,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266205,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266205,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266206,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266206,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
SYNTHETIC_TYPED_ORACLE_TRIGGER_ENGINEERING_NOT_VLA,POSE_SHIFT,LIVE_BELIEF__PERIODIC_ONLY__Q00_CLEAN__POSE_SHIFT__LOW__H4__VERBOSE_TYPED__S20266207,4,DETERMINISTIC_TYPED_ORACLE_V1,VERBOSE_TYPED,Q00_CLEAN,20266207,LOW,LIVE_BELIEF,PERIODIC_ONLY,False,30.0,0,0,0,1,1,7,8,0,2,0,9,0,1,,0.0,0.0,2,2,8
