storage_variant,trigger_policy,quality_id,disturbance_family,severity,horizon,prompt_envelope,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,4,COMPACT_TYPED,12,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,167.0,6.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,4,VERBOSE_TYPED,12,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,168.0,6.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,8,COMPACT_TYPED,12,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,167.0,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,8,VERBOSE_TYPED,12,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,168.0,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,12,COMPACT_TYPED,12,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,167.0,10.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,HIGH,12,VERBOSE_TYPED,12,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,168.0,10.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,4,COMPACT_TYPED,12,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,167.0,6.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,4,VERBOSE_TYPED,12,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,168.0,6.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,8,COMPACT_TYPED,12,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,167.0,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,8,VERBOSE_TYPED,12,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,168.0,8.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,12,COMPACT_TYPED,12,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,167.0,10.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,AVAILABILITY_LOSS,LOW,12,VERBOSE_TYPED,12,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,168.0,10.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,HIGH,4,COMPACT_TYPED,12,1.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,1.0,1.0,166.0,6.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,HIGH,4,VERBOSE_TYPED,12,1.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,17.0,1.0,1.0,167.0,6.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q00_CLEAN,CONTROL_FAILURE,HIGH,8,COMPACT_TYPED,12,1.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,1.0,1.0,166.0,8.0,1.0,0.0
